country,power_index_rank,active_personnel,tanks,total_aircraft,fighter_aircraft,total_naval_assets,defense_budget_usd,gdp_usd
Afghanistan,121,75000.0,0.0,5.0,0.0,0.0,145000000.0,82238000000.0
Albania,77,7500.0,0.0,20.0,0.0,33.0,720037190.0,51360000000.0
Algeria,27,130000.0,1485.0,620.0,111.0,111.0,25000000000.0,722912000000.0
Angola,59,107000.0,319.0,278.0,67.0,32.0,31200000000.0,278239000000.0
Argentina,32,108000.0,362.0,241.0,23.0,42.0,993919790.0,1213000000000.0
Armenia,101,65000.0,109.0,69.0,4.0,0.0,1480000000.0,60909000000.0
Australia,17,58910.0,46.0,348.0,24.0,45.0,57350000000.0,1635000000000.0
Austria,67,25000.0,56.0,90.0,15.0,0.0,6103900800.0,581131000000.0
Azerbaijan,60,128000.0,1354.0,159.0,12.0,32.0,5100000000.0,225198000000.0
Bahrain,75,18400.0,150.0,137.0,28.0,64.0,997015509.0,93937000000.0
Bangladesh,37,204000.0,320.0,212.0,41.0,121.0,3340000000.0,1473000000000.0
Belarus,70,63000.0,577.0,194.0,43.0,0.0,1034784000.0,265220000000.0
Belgium,61,26390.0,0.0,104.0,44.0,9.0,14900000000.0,749229000000.0
Belize,144,2000.0,0.0,3.0,0.0,15.0,34400000.0,5538000000.0
Benin,138,4750.0,0.0,7.0,0.0,2.0,137690000.0,56424000000.0
Bhutan,145,16000.0,0.0,2.0,0.0,0.0,26600000.0,11517000000.0
Bolivia,82,40000.0,54.0,67.0,0.0,67.0,467670000.0,122200000000.0
Bosnia and Herzegovina,133,18000.0,45.0,15.0,0.0,0.0,289920000.0,64641000000.0
Botswana,130,12000.0,45.0,45.0,10.0,0.0,581000000.0,45553000000.0
Brazil,11,376000.0,294.0,495.0,44.0,69.0,26400000000.0,4165000000000.0
Bulgaria,62,36950.0,334.0,71.0,11.0,45.0,2485350000.0,219645000000.0
Burkina Faso,127,7500.0,0.0,26.0,0.0,0.0,4590000000.0,60001000000.0
Cambodia,83,124300.0,520.0,24.0,0.0,20.0,750000000.0,123676000000.0
Cameroon,99,38000.0,0.0,35.0,0.0,19.0,835694942.0,143264000000.0
Canada,28,63500.0,74.0,354.0,66.0,67.0,45824959620.0,2341000000000.0
Central African Republic,143,30000.0,0.0,8.0,0.0,0.0,300000000.0,5926000000.0
Chad,85,37750.0,90.0,40.0,0.0,0.0,706800000.0,52895000000.0
Chile,49,80000.0,386.0,274.0,45.0,130.0,6800000000.0,596556000000.0
China,3,2035000.0,5870.0,3529.0,1443.0,841.0,303000000000.0,33598000000000.0
Colombia,43,429000.0,0.0,430.0,16.0,213.0,15800000000.0,978024000000.0
Croatia,73,14325.0,55.0,67.0,12.0,30.0,2744000000.0,164825000000.0
Cuba,65,50000.0,194.0,20.0,11.0,19.0,3301500000.0,81165000000.0
Czechia,55,30334.0,20.0,103.0,12.0,0.0,9174000000.0,521928000000.0
Democratic Republic of the Congo,64,166580.0,212.0,56.0,0.0,16.0,960000000.0,164367000000.0
Denmark,45,21000.0,44.0,122.0,26.0,50.0,14250000000.0,440558000000.0
Dominican Republic,115,89000.0,6.0,80.0,0.0,34.0,903000000.0,276884000000.0
Ecuador,72,41250.0,202.0,99.0,0.0,30.0,2963400000.0,252728000000.0
Egypt,19,438500.0,3620.0,1088.0,242.0,149.0,5193500000.0,1958000000000.0
El Salvador,129,25000.0,0.0,51.0,0.0,13.0,1037200000.0,73961000000.0
Eritrea,119,350000.0,148.0,20.0,1.0,23.0,219000000.0,2534000000.0
Estonia,106,7700.0,0.0,2.0,0.0,8.0,2375000000.0,57001000000.0
Ethiopia,47,503000.0,338.0,104.0,25.0,0.0,3720968976.0,380895000000.0
Finland,48,24000.0,200.0,162.0,53.0,165.0,8890000000.0,313591000000.0
France,6,264000.0,427.0,974.0,223.0,166.0,67232395000.0,3732000000000.0
Gabon,132,5000.0,0.0,25.0,6.0,5.0,340950000.0,48045000000.0
Georgia,95,37000.0,132.0,61.0,0.0,19.0,680000000.0,91849000000.0
Germany,12,184324.0,296.0,569.0,127.0,96.0,127400090000.0,5247000000000.0
Ghana,112,15500.0,0.0,18.0,0.0,20.0,954423756.0,243124000000.0
Greece,30,142700.0,1344.0,560.0,178.0,186.0,8242150000.0,192205000000.0
Guatemala,96,106114.0,0.0,35.0,0.0,25.0,616000000.0,232673000000.0
Honduras,103,52225.0,22.0,45.0,6.0,98.0,612300000.0,71297000000.0
Hungary,57,41600.0,220.0,80.0,12.0,0.0,5887250000.0,389207000000.0
Iceland,134,0.0,0.0,0.0,0.0,0.0,500000000.0,26561000000.0
India,4,1431000.0,3913.0,2183.0,476.0,343.0,109000000000.0,14244000000000.0
Indonesia,13,404500.0,331.0,460.0,41.0,338.0,11155297716.0,4102000000000.0
Iran,16,610000.0,2675.0,551.0,188.0,109.0,9230000000.0,1486000000000.0
Iraq,44,193000.0,1188.0,360.0,26.0,67.0,8000000000.0,585887000000.0
Ireland,94,7557.0,0.0,23.0,0.0,8.0,1754400500.0,620544000000.0
Israel,15,169500.0,1300.0,597.0,239.0,82.0,34600000000.0,472177000000.0
Italy,10,165500.0,203.0,714.0,88.0,285.0,37325165000.0,3133000000000.0
Ivory Coast,108,22000.0,0.0,22.0,0.0,8.0,18200000.0,215018000000.0
Japan,7,251500.0,734.0,1429.0,217.0,158.0,58000000000.0,5715000000000.0
Jordan,74,114500.0,1508.0,279.0,44.0,27.0,2668500000.0,109986000000.0
Kazakhstan,58,110000.0,353.0,168.0,37.0,26.0,5836386000.0,739385000000.0
Kenya,84,50000.0,188.0,154.0,17.0,27.0,1651803025.0,328632000000.0
Kosovo,139,4000.0,0.0,0.0,0.0,0.0,1177450000.0,25019000000.0
Kuwait,76,78000.0,367.0,133.0,47.0,123.0,7987000000.0,225947000000.0
Kyrgyzstan,109,23000.0,215.0,7.0,0.0,0.0,654000000.0,50907000000.0
Laos,125,100000.0,160.0,29.0,0.0,51.0,355600000.0,66905000000.0
Latvia,102,17870.0,0.0,3.0,0.0,18.0,42000000.0,72516000000.0
Lebanon,118,80000.0,334.0,80.0,0.0,48.0,800000000.0,65415000000.0
Liberia,141,2100.0,0.0,0.0,0.0,6.0,20700000.0,9308000000.0
Libya,80,32000.0,55.0,83.0,10.0,5.0,1474800000.0,90609000000.0
Lithuania,88,23000.0,0.0,9.0,0.0,13.0,5651760000.0,136227000000.0
Luxembourg,110,1200.0,0.0,1.0,0.0,0.0,1530685000.0,86871000000.0
Madagascar,131,13500.0,12.0,6.0,0.0,7.0,147630000.0,52968000000.0
Malaysia,42,113000.0,48.0,132.0,25.0,100.0,5100000000.0,1212000000000.0
Mali,104,40000.0,0.0,44.0,9.0,0.0,1110000000.0,71253000000.0
Mauritania,123,31540.0,51.0,23.0,0.0,6.0,270625000.0,33069000000.0
Mexico,36,387000.0,0.0,424.0,2.0,164.0,9100000000.0,2883000000000.0
Moldova,136,6500.0,0.0,3.0,0.0,0.0,114114000.0,39342000000.0
Mongolia,93,35000.0,420.0,8.0,0.0,0.0,1590000000.0,59221000000.0
Montenegro,128,2350.0,0.0,10.0,0.0,20.0,204000000.0,17375000000.0
Morocco,56,400000.0,1346.0,271.0,84.0,100.0,16100000000.0,350594000000.0
Mozambique,92,11200.0,60.0,23.0,8.0,36.0,480000000.0,51786000000.0
Myanmar,35,228000.0,1040.0,331.0,70.0,239.0,2815031361.0,287559000000.0
Namibia,122,17567.0,7.0,36.0,11.0,15.0,450498000.0,31154000000.0
Nepal,124,98500.0,0.0,17.0,0.0,0.0,431355326.0,149643000000.0
Netherlands,34,44245.0,18.0,130.0,0.0,140.0,31791150000.0,1276000000000.0
New Zealand,90,10050.0,0.0,47.0,0.0,8.0,2455949332.0,257117000000.0
Nicaragua,116,45000.0,186.0,17.0,0.0,23.0,1311600000.0,52989000000.0
Niger,120,25000.0,0.0,26.0,0.0,0.0,488400000.0,47921000000.0
Nigeria,33,230000.0,330.0,159.0,14.0,152.0,3900000000.0,1318000000000.0
North Korea,31,1320000.0,4895.0,837.0,341.0,332.0,4750000000.0,15416000000.0
North Macedonia,114,10010.0,0.0,20.0,0.0,0.0,421527100.0,43844000000.0
Norway,39,33440.0,36.0,109.0,0.0,48.0,11189483200.0,507680000000.0
Oman,86,100000.0,264.0,128.0,29.0,17.0,8364000000.0,193591000000.0
Pakistan,14,660000.0,2677.0,1397.0,331.0,120.0,9102115350.0,1390000000000.0
Panama,135,16300.0,0.0,38.0,0.0,22.0,1069750000.0,164484000000.0
Paraguay,81,15650.0,10.0,49.0,0.0,73.0,416800000.0,112919000000.0
Peru,50,120000.0,355.0,252.0,15.0,78.0,2552000000.0,535911000000.0
Philippines,41,160000.0,18.0,204.0,0.0,127.0,6571641011.0,1202000000000.0
Poland,21,250000.0,798.0,457.0,58.0,63.0,55865141600.0,1649000000000.0
Portugal,38,25000.0,34.0,128.0,28.0,128.0,6760000000.0,556942000000.0
Qatar,71,26550.0,62.0,263.0,115.0,125.0,11950000000.0,317064000000.0
Republic of the Congo,117,10000.0,61.0,14.0,2.0,4.0,933360000.0,39147000000.0
Romania,52,90000.0,451.0,148.0,29.0,18.0,10230630000.0,774376000000.0
Russia,2,1320000.0,5630.0,4237.0,861.0,747.0,212638272000.0,6089000000000.0
Saudi Arabia,25,247000.0,1085.0,917.0,283.0,32.0,63988055520.0,2213000000000.0
Senegal,126,17000.0,0.0,39.0,0.0,4.0,777800000.0,83183000000.0
Serbia,63,22500.0,242.0,115.0,11.0,30.0,2770000000.0,177093000000.0
Sierra Leone,140,13000.0,0.0,1.0,0.0,10.0,450000000.0,26728000000.0
Singapore,29,51000.0,170.0,235.0,100.0,101.0,18000000000.0,800304000000.0
Slovakia,69,20982.0,45.0,48.0,7.0,0.0,2900000000.0,218762000000.0
Slovenia,91,7000.0,54.0,40.0,0.0,3.0,1782000000.0,103118000000.0
Somalia,137,30000.0,0.0,6.0,0.0,19.0,870000000.0,26770000000.0
South Africa,40,68731.0,248.0,181.0,2.0,63.0,2877000000.0,870420000000.0
South Korea,5,450000.0,1831.0,1540.0,242.0,215.0,44800000000.0,2607000000000.0
South Sudan,113,185000.0,122.0,19.0,0.0,0.0,30700000.0,6752000000.0
Spain,18,121802.0,298.0,440.0,136.0,175.0,39000676350.0,2361000000000.0
Sri Lanka,68,346000.0,87.0,90.0,6.0,275.0,1500000000.0,301407000000.0
Sudan,66,300000.0,1055.0,183.0,37.0,10.0,394700000.0,94420000000.0
Suriname,142,2500.0,0.0,3.0,0.0,17.0,58440000.0,12316000000.0
Sweden,26,25600.0,110.0,172.0,73.0,279.0,15900000000.0,668628000000.0
Switzerland,46,147178.0,134.0,141.0,40.0,0.0,8372658426.0,741035000000.0
Syria,87,100000.0,168.0,104.0,52.0,12.0,145925000.0,98858000000.0
Taiwan,22,230000.0,1090.0,720.0,258.0,91.0,31180000000.0,1743000000000.0
Tajikistan,100,150000.0,38.0,25.0,0.0,0.0,450460000.0,50370000000.0
Tanzania,89,25000.0,200.0,38.0,11.0,12.0,1476113361.0,246706000000.0
Thailand,24,360850.0,744.0,496.0,73.0,304.0,6006660000.0,1558000000000.0
Tunisia,79,89800.0,0.0,155.0,10.0,37.0,2172751250.0,156086000000.0
Turkey,9,481000.0,2284.0,1101.0,201.0,192.0,51400000000.0,3018000000000.0
Turkmenistan,78,36500.0,654.0,91.0,22.0,16.0,1463000000.0,134555000000.0
Uganda,107,45000.0,259.0,51.0,6.0,0.0,1510000000.0,144137000000.0
Ukraine,20,900000.0,1121.0,347.0,88.0,169.0,45000000000.0,577583000000.0
United Arab Emirates,54,65000.0,354.0,581.0,99.0,84.0,23480000000.0,745994000000.0
United Kingdom,8,141330.0,288.0,625.0,103.0,116.0,88526529585.0,3636000000000.0
United States,1,1333030.0,4666.0,13032.0,1791.0,465.0,831500000000.0,25676000000000.0
Uruguay,97,24000.0,62.0,43.0,0.0,16.0,1903440000.0,108502000000.0
Uzbekistan,53,120000.0,470.0,159.0,26.0,0.0,6210000000.0,379989000000.0
Venezuela,51,109000.0,282.0,224.0,30.0,41.0,6060000000.0,110943000000.0
Vietnam,23,450000.0,1999.0,265.0,61.0,116.0,10200000000.0,1456000000000.0
Yemen,98,33350.0,0.0,160.0,68.0,26.0,405187500.0,18719000000.0
Zambia,111,15150.0,75.0,78.0,0.0,0.0,385321000.0,79207000000.0
Zimbabwe,105,29000.0,60.0,80.0,9.0,0.0,1976800000.0,57391000000.0
